Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-3	1.58	0.48	5.03	0.37703	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-4	2.3	1.6	3.3	1.7357e-06	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-5	0.66	0.4	1.06	0.073319	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-7	0.58	0.38	0.88	0.007446	*
DRB1	binned	1.05	0.49	2.14	0.89243	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-1	1.43	1.06	1.93	0.014378	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-12	1.58	1.07	2.33	0.014989	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-19	1.14	0.5	2.5	0.73244	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-3	0.85	0.62	1.15	0.27817	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-4	0.73	0.49	1.07	0.09607	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-5	0.65	0.29	1.35	0.22115	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-9	0.74	0.51	1.07	0.095256	NS
DQB1	binned	0.98	0.29	2.91	0.96436	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-1	0.88	0.67	1.18	0.38148	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-11	1	0.41	2.32	0.99756	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-13	0.59	0.23	1.38	0.19997	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-16	1.51	0.36	5.98	0.49664	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-2	1.09	0.78	1.53	0.59288	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-4	1.54	0.85	2.75	0.12034	NS
