Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
B	HLA-Bw0-0-5-0-8-0-6-0-3-0-7-0-1-0-0	1.02	0.67	1.56	0.91996	NS
B	HLA-Bw0-0-8-0-13-0-6-0-3-0-7-0-1-0-0	1.79	0.45	8.37	0.34739	NS
B	HLA-Bw0-0-9-0-18-0-11-0-2-0-11-0-1-0-0	1.21	0.81	1.79	0.33145	NS
B	binned	0.97	0.49	1.9	0.9238	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.68	0.44	1.03	0.056747	NS
DRB1	HLA-DRB1w0-0-108-0-962-0-30-0-8-0-16-0-0	0.48	0.19	1.12	0.063651	NS
DRB1	HLA-DRB1w0-0-11-0-14-0-19-0-3-0-4-0-0	0.5	0.33	0.74	0.00029135	*
DRB1	HLA-DRB1w0-0-14-0-17-0-20-0-3-0-4-0-0	1.02	0.27	3.83	0.97327	NS
DRB1	HLA-DRB1w0-0-15-0-18-0-21-0-4-0-7-0-0	0.57	0.41	0.79	0.00045001	*
DRB1	HLA-DRB1w0-0-20-0-22-0-24-0-7-0-12-0-0	0.89	0.27	2.83	0.8244	NS
DRB1	HLA-DRB1w0-0-22-0-24-0-25-0-8-0-3-0-0	0.65	0.42	1.01	0.044882	*
DRB1	HLA-DRB1w0-0-22-0-28-0-25-0-8-0-3-0-0	1.19	0.34	4.31	0.75402	NS
DRB1	HLA-DRB1w0-0-22-0-29-0-25-0-8-0-3-0-0	0.6	0.33	1.07	0.067263	NS
DRB1	HLA-DRB1w0-0-26-0-30-0-26-0-9-0-13-0-0	0.58	0.21	1.49	0.21412	NS
DRB1	HLA-DRB1w0-0-30-0-34-0-27-0-8-0-15-0-0	0.88	0.55	1.39	0.56687	NS
DRB1	HLA-DRB1w0-0-31-0-36-0-28-0-8-0-15-0-0	1.02	0.61	1.71	0.93531	NS
DRB1	HLA-DRB1w0-0-34-0-40-0-31-0-11-0-17-0-0	3.89	2.96	5.14	< 2.22e-16	*
DRB1	HLA-DRB1w0-0-36-0-43-0-32-0-11-0-18-0-0	1.02	0.33	3.13	0.9691	NS
DRB1	HLA-DRB1w0-0-39-0-46-0-33-0-13-0-20-0-0	1.02	0.5	2.09	0.95337	NS
DRB1	HLA-DRB1w0-0-6-0-9-0-16-0-1-0-1-0-0	0.41	0.27	0.62	7.4405e-06	*
DRB1	HLA-DRB1w0-0-7-0-10-0-17-0-1-0-2-0-0	0.62	0.22	1.63	0.29204	NS
DRB1	HLA-DRB1w0-0-8-0-11-0-16-0-1-0-1-0-0	1.36	0.52	3.69	0.48186	NS
DRB1	HLA-DRB1w0-0-9-0-12-0-18-0-2-0-3-0-0	1.64	1.2	2.24	0.0012353	*
DRB1	HLA-DRB1w0-0-91-0-943-0-19-0-3-0-6-0-0	0.86	0.47	1.58	0.6134	NS
DRB1	HLA-DRB1w0-0-92-0-944-0-20-0-3-0-6-0-0	0.85	0.2	3.35	0.78681	NS
DRB1	binned	0.72	0.31	1.6	0.3765	NS
DQB1	HLA-DQB1w0-0-1-0-1-0-1-0-1-0-1-0-0	1.64	1.2	2.24	0.0012353	*
DQB1	HLA-DQB1w0-0-10-0-15-0-11-0-11-0-10-0-0	4	3.02	5.33	< 2.22e-16	*
DQB1	HLA-DQB1w0-0-11-0-16-0-11-0-11-0-10-0-0	0.91	0.59	1.41	0.67056	NS
DQB1	HLA-DQB1w0-0-12-0-17-0-12-0-12-0-11-0-0	1.08	0.65	1.82	0.74228	NS
DQB1	HLA-DQB1w0-0-2-0-2-0-2-0-1-0-2-0-0	0.59	0.4	0.86	0.0036781	*
DQB1	HLA-DQB1w0-0-22-0-34-0-18-0-15-0-14-0-0	0.52	0.24	1.07	0.056222	NS
DQB1	HLA-DQB1w0-0-3-0-4-0-4-0-3-0-3-0-0	0.63	0.49	0.82	0.00032964	*
DQB1	HLA-DQB1w0-0-5-0-6-0-5-0-5-0-4-0-0	0.63	0.44	0.9	0.0078636	*
DQB1	HLA-DQB1w0-0-6-0-7-0-6-0-6-0-5-0-0	0.77	0.43	1.34	0.31992	NS
DQB1	HLA-DQB1w0-0-7-0-10-0-7-0-7-0-6-0-0	0.51	0.36	0.71	4.1084e-05	*
DQB1	HLA-DQB1w0-0-7-0-13-0-9-0-7-0-8-0-0	0.88	0.46	1.7	0.68951	NS
DQB1	HLA-DQB1w0-0-8-0-12-0-8-0-9-0-7-0-0	0.48	0.19	1.12	0.063651	NS
DQB1	HLA-DQB1w0-0-9-0-14-0-10-0-10-0-9-0-0	1.02	0.36	2.92	0.9672	NS
DQB1	binned	0.17	0	1.4	0.061713	NS
DPB1	HLA-DPB1w0-0-10-0-4-0-3-0-2-0-0	0.99	0.57	1.71	0.96485	NS
DPB1	HLA-DPB1w0-0-16-0-1861-0-805-0-4-0-0	1.2	0.71	2.02	0.47502	NS
DPB1	HLA-DPB1w0-0-29-0-1895-0-809-0-12-0-0	1.02	0.49	2.15	0.949	NS
DPB1	HLA-DPB1w0-0-3-0-2-0-2-0-1-0-0	0.81	0.6	1.09	0.15154	NS
DPB1	HLA-DPB1w0-0-3-0-3-0-2-0-1-0-0	1.43	0.39	5.75	0.53708	NS
DPB1	HLA-DPB1w0-0-3-0-4-0-3-0-2-0-0	0.23	0.02	1.09	0.037378	*
DPB1	HLA-DPB1w0-0-4-0-4-0-3-0-2-0-0	1.16	0.86	1.56	0.32735	NS
DPB1	HLA-DPB1w0-0-5-0-5-0-2-0-1-0-0	1.16	0.95	1.41	0.13856	NS
DPB1	HLA-DPB1w0-0-6-0-7-0-2-0-1-0-0	0.8	0.59	1.09	0.13695	NS
DPB1	HLA-DPB1w0-0-60-0-1902-0-3-0-3-0-0	0.44	0.15	1.14	0.066142	NS
DPB1	HLA-DPB1w0-0-62-0-1906-0-3-0-3-0-0	1.12	0.45	2.81	0.793	NS
DPB1	HLA-DPB1w0-0-65-0-1910-0-2-0-1-0-0	0.83	0.3	2.23	0.68834	NS
DPB1	HLA-DPB1w0-0-68-0-1913-0-811-0-2-0-0	1.17	0.37	3.81	0.76293	NS
DPB1	binned	1.25	0.57	2.75	0.54519	NS
