Locus	Allele	Group.0	Group.1
DPB1	HLA-DPB1w0-0-3-0-3-0-2-0-1-0-0	0	1
DPB1	HLA-DPB1w0-0-3-0-4-0-3-0-2-0-0	2	1
DPB1	HLA-DPB1w0-0-5-0-1877-0-806-0-1-0-0	3	3
DPB1	HLA-DPB1w0-0-56-0-4-0-3-0-2-0-0	0	2
DPB1	HLA-DPB1w0-0-60-0-1902-0-3-0-3-0-0	2	6
DPB1	HLA-DPB1w0-0-62-0-1906-0-3-0-3-0-0	1	5
DPB1	HLA-DPB1w0-0-64-0-1908-0-3-0-2-0-0	0	2
DPB1	HLA-DPB1w0-0-65-0-1910-0-2-0-1-0-0	1	2
DPB1	HLA-DPB1w0-0-68-0-1913-0-811-0-2-0-0	1	3
DPB1	HLA-DPB1w0-0-69-0-1916-0-812-0-1-0-0	0	1
DPB1	HLA-DPB1w0-0-7-0-8-0-2-0-1-0-0	0	1
