Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
B	HLA-Bw649-6-5-49-19-54-9-3-6-3-13-1-6-1-140	0.67	0.36	1.23	0.17167	NS
B	HLA-Bw649-6-5-63-18-77-11-7-7-6-12-1-1-2-156	1.41	0.7	2.9	0.29611	NS
B	HLA-Bw649-6-5-79-19-57-9-3-6-3-14-1-6-1-242	1.02	0.4	2.61	0.9637	NS
B	HLA-Bw649-6-9-40-18-50-11-7-2-6-11-1-1-2-132	1.21	0.81	1.79	0.33145	NS
B	HLA-Bw652-3-10-90-26-105-9-17-6-3-19-1-9-1-184	0.68	0.45	1.02	0.052337	NS
B	HLA-Bw652-3-10-90-26-107-9-17-6-3-19-1-9-1-186	0.63	0.35	1.12	0.093295	NS
B	HLA-Bw654-8-11-109-35-128-14-13-5-6-15-1-1-2-194	0.84	0.53	1.33	0.4271	NS
B	HLA-Bw654-8-11-114-35-128-14-13-5-6-15-1-1-2-211	0.89	0.27	2.83	0.8244	NS
B	HLA-Bw654-8-11-53-21-63-14-13-5-6-15-1-1-2-30	0.75	0.48	1.16	0.16918	NS
B	HLA-Bw654-8-11-53-21-66-14-13-5-6-15-1-1-2-145	1.17	0.37	3.8	0.76655	NS
B	HLA-Bw654-8-11-53-21-68-14-13-5-6-15-1-1-2-147	0.95	0.41	2.18	0.88586	NS
B	HLA-Bw662-10-13-78-3-10-2-3-1-3-2-1-2-1-6	2.57	0.74	11.26	0.099627	NS
B	HLA-Bw662-10-15-78-32-115-21-7-3-6-20-1-10-2-243	1.43	0.39	5.74	0.53988	NS
B	HLA-Bw662-10-15-78-32-125-25-7-3-6-20-1-10-2-192	1.48	0.58	3.95	0.36596	NS
B	HLA-Bw662-10-15-96-32-125-24-7-3-6-20-1-10-2-192	0.86	0.35	2.1	0.71609	NS
B	HLA-Bw683-11-14-122-21-46-10-3-5-6-10-1-1-2-246	0.89	0.4	1.96	0.75259	NS
B	HLA-Bw686-12-17-128-36-144-27-20-2-10-25-1-1-1-219	1.18	0.67	2.1	0.53712	NS
B	HLA-Bw810-1-2-23-35-229-15-6-1-5-5-1-4-2-14	1.19	0.34	4.31	0.75402	NS
B	binned	1.02	0.68	1.53	0.91587	NS
DRB1	HLA-DRB1w0-3-0-1210-0-2-0-2-0-2-0-1-0	1.37	0.6	3.19	0.41572	NS
DRB1	HLA-DRB1w0-3-0-672-0-2-0-5-0-1-0-1-0	0.67	0.31	1.4	0.25499	NS
DRB1	HLA-DRB1w0-5-0-313-0-20-0-1-0-1-0-1-0	0.44	0.15	1.14	0.065285	NS
DRB1	HLA-DRB1w1-1-6-15-9-12-16-1-1-1-1-1-1	0.41	0.27	0.62	7.4405e-06	*
DRB1	HLA-DRB1w1-1-8-56-11-12-16-1-1-1-1-1-3	1.36	0.52	3.69	0.48186	NS
DRB1	HLA-DRB1w11-3-20-812-22-1-24-2-7-4-12-1-11	0.89	0.27	2.83	0.8244	NS
DRB1	HLA-DRB1w13-3-22-869-28-2-25-2-8-2-3-1-14	1.19	0.34	4.31	0.75402	NS
DRB1	HLA-DRB1w14-3-108-1451-962-46-30-2-8-2-16-1-17	0.48	0.19	1.12	0.063651	NS
DRB1	HLA-DRB1w14-3-26-1110-30-3-26-2-9-2-13-1-0	0.58	0.21	1.49	0.21412	NS
DRB1	HLA-DRB1w16-9-36-1685-43-47-32-2-11-1-18-1-0	1.02	0.33	3.13	0.9691	NS
DRB1	HLA-DRB1w17-3-30-1182-34-2-27-2-8-2-15-1-16	0.88	0.55	1.39	0.56687	NS
DRB1	HLA-DRB1w19-3-31-1198-36-2-28-2-8-2-15-1-16	1.02	0.61	1.71	0.93531	NS
DRB1	HLA-DRB1w2-1-7-44-10-12-17-1-1-1-2-1-2	0.62	0.22	1.63	0.29204	NS
DRB1	HLA-DRB1w20-9-34-1656-40-47-31-2-11-1-17-1-18	3.89	2.96	5.14	< 2.22e-16	*
DRB1	HLA-DRB1w23-1-39-1845-46-47-33-2-13-1-20-1-20	1.02	0.5	2.09	0.95337	NS
DRB1	HLA-DRB1w26-5-91-330-943-20-19-1-3-1-6-1-22	0.86	0.47	1.58	0.6134	NS
DRB1	HLA-DRB1w26-5-92-340-944-20-20-1-3-1-6-1-22	0.85	0.2	3.35	0.78681	NS
DRB1	HLA-DRB1w3-3-22-837-24-2-25-2-8-2-3-1-13	0.65	0.42	1.01	0.044882	*
DRB1	HLA-DRB1w3-3-22-871-29-2-25-2-8-2-3-1-13	0.6	0.33	1.07	0.067263	NS
DRB1	HLA-DRB1w3-3-9-133-12-15-18-2-2-2-3-1-4	1.64	1.2	2.24	0.0012353	*
DRB1	HLA-DRB1w5-5-11-296-14-20-19-1-3-1-4-1-5	0.5	0.33	0.74	0.00029135	*
DRB1	HLA-DRB1w5-5-14-362-17-20-20-1-3-1-4-1-23	1.02	0.27	3.83	0.97327	NS
DRB1	HLA-DRB1w7-6-15-587-18-4-21-4-4-1-7-1-7	0.57	0.41	0.79	0.00045001	*
DRB1	binned	0.58	0.3	1.09	0.069252	NS
DQB1	HLA-DQB1w1-1-1-1-1-1-1-1-1-1-1-1-1	1.64	1.2	2.24	0.0012353	*
DQB1	HLA-DQB1w10-5-7-378-10-73-7-6-7-1-6-2-9	0.51	0.36	0.71	4.1084e-05	*
DQB1	HLA-DQB1w11-5-7-398-13-76-9-6-7-1-8-2-19	0.88	0.46	1.7	0.68951	NS
DQB1	HLA-DQB1w11-5-8-408-12-73-8-6-9-1-7-2-9	0.48	0.19	1.12	0.063651	NS
DQB1	HLA-DQB1w13-6-9-518-14-109-10-7-10-1-9-2-10	1.02	0.36	2.92	0.9672	NS
DQB1	HLA-DQB1w14-9-10-526-15-116-11-8-11-1-10-2-11	4	3.02	5.33	< 2.22e-16	*
DQB1	HLA-DQB1w14-9-11-549-16-116-11-8-11-1-10-2-12	0.91	0.59	1.41	0.67056	NS
DQB1	HLA-DQB1w14-9-12-569-17-121-12-8-12-1-11-2-12	1.02	0.56	1.85	0.9437	NS
DQB1	HLA-DQB1w14-9-12-587-17-121-12-8-12-1-11-2-12	1.31	0.43	4.17	0.58837	NS
DQB1	HLA-DQB1w16-3-22-339-34-22-18-3-15-1-14-1-4	0.52	0.24	1.07	0.056222	NS
DQB1	HLA-DQB1w17-1-2-1-2-3-2-1-1-1-2-1-1	0.59	0.4	0.86	0.0036781	*
DQB1	HLA-DQB1w4-2-3-91-4-12-4-2-3-1-3-1-3	0.63	0.48	0.81	0.00025324	*
DQB1	HLA-DQB1w6-3-5-115-6-22-5-3-5-1-4-1-4	0.65	0.46	0.92	0.012233	*
DQB1	HLA-DQB1w7-3-6-132-7-22-6-3-6-1-5-1-5	0.77	0.43	1.34	0.31992	NS
DQB1	binned	0.25	0.03	1.27	0.061121	NS
DPB1	HLA-DPB1w1-1-3-160-4-2-3-2-2-1-2	0.23	0.02	1.09	0.037378	*
DPB1	HLA-DPB1w1-1-3-26-3-3-2-2-1-1-1	1.43	0.39	5.75	0.53708	NS
DPB1	HLA-DPB1w1-1-3-9-2-3-2-2-1-1-1	0.81	0.6	1.09	0.15154	NS
DPB1	HLA-DPB1w2-1-16-3-1861-2-805-1-4-1-4	1.2	0.71	2.02	0.47502	NS
DPB1	HLA-DPB1w2-1-29-73-1895-2-809-3-12-1-11	1.02	0.49	2.15	0.949	NS
DPB1	HLA-DPB1w2-1-4-27-4-2-3-2-2-1-2	1.4	1.01	1.96	0.037205	*
DPB1	HLA-DPB1w2-1-4-78-4-2-3-2-2-1-2	0.55	0.25	1.17	0.095121	NS
DPB1	HLA-DPB1w2-1-5-34-5-3-2-2-1-1-1	1.16	0.95	1.41	0.13856	NS
DPB1	HLA-DPB1w2-1-6-65-7-6-2-2-1-1-1	0.8	0.59	1.09	0.13695	NS
DPB1	HLA-DPB1w2-1-60-106-1902-2-3-2-3-1-13	0.44	0.15	1.14	0.066142	NS
DPB1	HLA-DPB1w2-1-62-91-1906-2-3-2-3-1-13	1.12	0.45	2.81	0.793	NS
DPB1	HLA-DPB1w2-1-65-119-1910-3-2-2-1-1-1	0.83	0.3	2.23	0.68834	NS
DPB1	HLA-DPB1w2-1-68-90-1913-2-811-3-2-1-16	1.17	0.37	3.81	0.76293	NS
DPB1	HLA-DPB1w3-1-10-136-4-2-3-2-2-1-2	0.78	0.35	1.71	0.49839	NS
DPB1	HLA-DPB1w3-1-10-94-4-2-3-2-2-1-2	1.1	0.49	2.47	0.80542	NS
DPB1	binned	1.14	0.57	2.3	0.69214	NS
