Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
DRB1	HLA-DRB1w20-0-0-0-0-0-0-0-0-0-0-0-0	3.89	2.96	5.14	< 2.22e-16	*
DRB1	HLA-DRB1w23-0-0-0-0-0-0-0-0-0-0-0-0	1.02	0.5	2.09	0.95337	NS
DRB1	HLA-DRB1w26-0-0-0-0-0-0-0-0-0-0-0-0	0.86	0.5	1.48	0.56488	NS
DRB1	HLA-DRB1w3-0-0-0-0-0-0-0-0-0-0-0-0	1.08	0.85	1.37	0.53263	NS
DRB1	HLA-DRB1w5-0-0-0-0-0-0-0-0-0-0-0-0	0.53	0.36	0.77	0.000535	*
DRB1	HLA-DRB1w7-0-0-0-0-0-0-0-0-0-0-0-0	0.57	0.41	0.79	0.00045001	*
DRB1	binned	0.81	0.35	1.87	0.59498	NS
DQB1	HLA-DQB1w1-0-0-0-0-0-0-0-0-0-0-0-0	1.64	1.2	2.24	0.0012353	*
DQB1	HLA-DQB1w10-0-0-0-0-0-0-0-0-0-0-0-0	0.51	0.36	0.71	4.1084e-05	*
DQB1	HLA-DQB1w11-0-0-0-0-0-0-0-0-0-0-0-0	0.69	0.41	1.15	0.13518	NS
DQB1	HLA-DQB1w13-0-0-0-0-0-0-0-0-0-0-0-0	1.02	0.36	2.92	0.9672	NS
DQB1	HLA-DQB1w14-0-0-0-0-0-0-0-0-0-0-0-0	2.69	2.14	3.37	< 2.22e-16	*
DQB1	HLA-DQB1w16-0-0-0-0-0-0-0-0-0-0-0-0	0.52	0.24	1.07	0.056222	NS
DQB1	HLA-DQB1w17-0-0-0-0-0-0-0-0-0-0-0-0	0.59	0.4	0.86	0.0036781	*
DQB1	HLA-DQB1w4-0-0-0-0-0-0-0-0-0-0-0-0	0.61	0.47	0.79	0.00012708	*
DQB1	HLA-DQB1w6-0-0-0-0-0-0-0-0-0-0-0-0	0.63	0.44	0.9	0.0078636	*
DQB1	HLA-DQB1w7-0-0-0-0-0-0-0-0-0-0-0-0	0.77	0.43	1.34	0.31992	NS
DQB1	binned	0.68	0.06	5.94	0.66987	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0	0	39.86	0.32242	NS
DPB1	HLA-DPB1w1-0-0-0-0-0-0-0-0-0-0	0.79	0.59	1.05	0.087911	NS
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-0	1.22	0.94	1.57	0.11946	NS
DPB1	HLA-DPB1w3-0-0-0-0-0-0-0-0-0-0	1.02	0.61	1.71	0.92716	NS
