Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
B	HLA-Bw686-0-0-0-0-0-0-0-0-0-0-0-0-0-219	1.18	0.67	2.1	0.53712	NS
B	HLA-Bw810-0-0-0-0-0-0-0-0-0-0-0-0-0-14	1.19	0.34	4.31	0.75402	NS
B	binned	0.8	0.49	1.3	0.33518	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.68	0.44	1.03	0.056747	NS
DRB1	HLA-DRB1w1-0-0-0-0-0-0-0-0-0-0-0-1	0.41	0.27	0.62	7.4405e-06	*
DRB1	HLA-DRB1w1-0-0-0-0-0-0-0-0-0-0-0-3	1.36	0.52	3.69	0.48186	NS
DRB1	HLA-DRB1w11-0-0-0-0-0-0-0-0-0-0-0-11	0.89	0.27	2.83	0.8244	NS
DRB1	HLA-DRB1w13-0-0-0-0-0-0-0-0-0-0-0-14	0.89	0.27	2.83	0.8244	NS
DRB1	HLA-DRB1w14-0-0-0-0-0-0-0-0-0-0-0-0	0.58	0.21	1.49	0.21412	NS
DRB1	HLA-DRB1w14-0-0-0-0-0-0-0-0-0-0-0-17	0.48	0.19	1.12	0.063651	NS
DRB1	HLA-DRB1w16-0-0-0-0-0-0-0-0-0-0-0-0	1.02	0.33	3.13	0.9691	NS
DRB1	HLA-DRB1w17-0-0-0-0-0-0-0-0-0-0-0-16	0.88	0.55	1.39	0.56687	NS
DRB1	HLA-DRB1w19-0-0-0-0-0-0-0-0-0-0-0-16	1.02	0.61	1.71	0.93531	NS
DRB1	HLA-DRB1w2-0-0-0-0-0-0-0-0-0-0-0-2	0.62	0.22	1.63	0.29204	NS
DRB1	HLA-DRB1w20-0-0-0-0-0-0-0-0-0-0-0-18	3.89	2.96	5.14	< 2.22e-16	*
DRB1	HLA-DRB1w23-0-0-0-0-0-0-0-0-0-0-0-20	1.02	0.5	2.09	0.95337	NS
DRB1	HLA-DRB1w26-0-0-0-0-0-0-0-0-0-0-0-22	0.86	0.5	1.48	0.56488	NS
DRB1	HLA-DRB1w3-0-0-0-0-0-0-0-0-0-0-0-13	0.62	0.43	0.88	0.0056252	*
DRB1	HLA-DRB1w3-0-0-0-0-0-0-0-0-0-0-0-4	1.64	1.2	2.24	0.0012353	*
DRB1	HLA-DRB1w5-0-0-0-0-0-0-0-0-0-0-0-23	1.02	0.27	3.83	0.97327	NS
DRB1	HLA-DRB1w5-0-0-0-0-0-0-0-0-0-0-0-5	0.5	0.33	0.74	0.00029135	*
DRB1	HLA-DRB1w7-0-0-0-0-0-0-0-0-0-0-0-7	0.57	0.41	0.79	0.00045001	*
DRB1	binned	0.81	0.35	1.87	0.59498	NS
DQB1	HLA-DQB1w1-0-0-0-0-0-0-0-0-0-0-0-1	1.64	1.2	2.24	0.0012353	*
DQB1	HLA-DQB1w10-0-0-0-0-0-0-0-0-0-0-0-9	0.51	0.36	0.71	4.1084e-05	*
DQB1	HLA-DQB1w11-0-0-0-0-0-0-0-0-0-0-0-19	0.88	0.46	1.7	0.68951	NS
DQB1	HLA-DQB1w11-0-0-0-0-0-0-0-0-0-0-0-9	0.48	0.19	1.12	0.063651	NS
DQB1	HLA-DQB1w13-0-0-0-0-0-0-0-0-0-0-0-10	1.02	0.36	2.92	0.9672	NS
DQB1	HLA-DQB1w14-0-0-0-0-0-0-0-0-0-0-0-11	4	3.02	5.33	< 2.22e-16	*
DQB1	HLA-DQB1w14-0-0-0-0-0-0-0-0-0-0-0-12	0.98	0.7	1.37	0.90794	NS
DQB1	HLA-DQB1w16-0-0-0-0-0-0-0-0-0-0-0-4	0.52	0.24	1.07	0.056222	NS
DQB1	HLA-DQB1w17-0-0-0-0-0-0-0-0-0-0-0-1	0.59	0.4	0.86	0.0036781	*
DQB1	HLA-DQB1w4-0-0-0-0-0-0-0-0-0-0-0-3	0.61	0.47	0.79	0.00012708	*
DQB1	HLA-DQB1w6-0-0-0-0-0-0-0-0-0-0-0-4	0.63	0.44	0.9	0.0078636	*
DQB1	HLA-DQB1w7-0-0-0-0-0-0-0-0-0-0-0-5	0.77	0.43	1.34	0.31992	NS
DQB1	binned	0.68	0.06	5.94	0.66987	NS
DPB1	HLA-DPB1w1-0-0-0-0-0-0-0-0-0-1	0.84	0.63	1.12	0.21138	NS
DPB1	HLA-DPB1w1-0-0-0-0-0-0-0-0-0-2	0.23	0.02	1.09	0.037378	*
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-1	1.04	0.85	1.27	0.6725	NS
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-11	1.23	0.65	2.37	0.49384	NS
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-13	0.71	0.37	1.34	0.26202	NS
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-16	1.17	0.37	3.81	0.76293	NS
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-2	1.16	0.86	1.56	0.32735	NS
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-4	1.16	0.69	1.94	0.55735	NS
DPB1	HLA-DPB1w3-0-0-0-0-0-0-0-0-0-2	0.99	0.59	1.67	0.97288	NS
DPB1	binned	1.02	0.01	80.27	0.98774	NS
